日時,地下水位,X3,気圧,地球潮汐
8104041050,6.3389,5.9,1006.65,103.91
8104041100,6.3391,5.9,1006.5,106.64
8104041110,6.3444,5.9,1006.12,108.6
8104041120,6.3416,5.9,1006.12,109.78
8104041130,6.341,5.9,1005.67,110.18
8104041140,6.3443,5.9,1005.6,109.78
8104041150,6.342,5.9,1005.23,108.59
8104041200,6.3426,5.9,1005.52,106.62
8104041210,6.3437,5.9,1005.45,103.88
8104041220,6.3449,5.9,1005.52,100.4
8104041230,6.3459,5.9,1005.6,96.2
8104041240,6.3504,5.9,1005.9,91.31
8104041250,6.3469,5.9,1006.05,85.76
8104041300,6.3465,5.9,1005.98,79.59
8104041310,NA,NA,NA,72.86
8104041320,6.3471,5.9,1005.9,65.6
8104041330,6.3484,5.9,1005.67,57.88
8104041340,6.3537,5.9,1005.3,49.74
8104041350,6.3505,5.9,1005.3,41.25
8104041400,6.3523,5.9,1004.92,32.46
8104041410,6.3533,5.9,1005.08,23.44
8104041420,6.3527,5.9,1005,14.26
8104041430,6.3538,5.9,1004.85,4.99
8104041440,6.3574,5.9,1004.92,-4.32
8104041450,6.3544,5.9,1005.15,-13.6
8104041500,6.3561,6.9,1004.77,-22.77
8104041510,6.3567,6.9,1004.4,-31.77
8104041520,6.3564,6.9,1004.25,-40.53
8104041530,6.3571,6.9,1004.4,-49
8104041540,6.3587,6.9,1004.25,-57.11
8104041550,6.3606,6.9,1004.25,-64.8
8104041600,6.3619,6.9,1004.17,-72.02
8104041610,6.3664,6.9,1003.95,-78.72
8104041620,6.3629,8.2,1004.33,-84.84
8104041630,6.363,8.2,1004.25,-90.34
8104041640,6.3677,9.1,1004.62,-95.2
8104041650,6.3645,10,1004.4,-99.36
8104041700,6.3653,11,1004.48,-102.8
8104041710,6.3661,12,1004.48,-105.49
8104041720,6.3672,12,1004.1,-107.42
8104041730,6.3679,12.9,1004.1,-108.58
8104041740,6.3708,12.9,1004.02,-108.95
8104041750,6.3684,12.9,1003.88,-108.54
8104041800,6.3683,12.9,1004.1,-107.34
8104041810,NA,NA,NA,-105.37
8104041820,6.3689,13.9,1003.8,-102.65
8104041830,6.3679,13.9,1003.73,-99.18
8104041840,NA,NA,NA,-95.01
8104041850,6.3686,13.9,1003.65,-90.15
8104041900,6.3698,13.9,1003.58,-84.65
8104041910,6.3708,13.9,1003.35,-78.55
8104041920,6.3709,13.9,1003.5,-71.9
8104041930,6.371,13.9,1004.02,-64.73
8104041940,6.3709,13.9,1004.1,-57.11
8104041950,6.3703,13.9,1004.25,-49.09
8104042000,6.3702,13.9,1004.1,-40.73
8104042010,6.37,13.9,1004.25,-32.09
8104042020,6.37,13.9,1004.02,-23.24
8104042030,6.37,13.9,1003.8,-14.25
8104042040,6.3698,13.9,1004.02,-5.17
8104042050,6.3681,13.9,1003.95,3.93
8104042100,6.3679,13.9,1004.25,12.97
8104042110,6.3679,13.9,1004.02,21.89
8104042120,6.3677,13.9,1003.8,30.63
8104042130,6.3673,13.9,1003.73,39.12
8104042140,6.3677,13.9,1003.8,47.29
8104042150,6.3668,13.9,1004.25,55.09
8104042200,6.3661,13.9,1004.62,62.47
8104042210,6.3644,13.9,1004.85,69.35
8104042220,6.3634,13.9,1005,75.7
8104042230,NA,NA,NA,81.47
8104042240,NA,NA,NA,86.61
8104042250,6.3611,13.9,1005.08,91.09
8104042300,6.3609,13.9,1004.77,94.86
8104042310,6.3604,13.9,1004.92,97.92
8104042320,6.36,13.9,1005.23,100.22
8104042330,6.3586,13.9,1005.38,101.76
8104042340,6.3584,13.9,1005.38,102.52
8104042350,6.3574,13.9,1005.15,102.49
8104050000,6.3573,13.9,1005.3,101.68
8104050010,6.3573,13.9,1005.23,100.09
8104050020,6.3574,13.9,1005.45,97.74
8104050030,6.3579,13.9,1005.23,94.63
8104050040,6.3572,13.9,1005.3,90.79
8104050050,6.357,13.9,1005.08,86.26
8104050100,6.3566,13.9,1005.45,81.05
8104050110,NA,NA,NA,75.22
8104050120,6.3539,13.9,1005.9,68.8
8104050130,6.3508,13.9,1006.2,61.83
8104050140,6.3503,13.9,1006.2,54.38
8104050150,NA,NA,NA,46.5
8104050200,6.3509,13.9,1006.35,38.24
8104050210,6.3516,13.9,1006.27,29.66
8104050220,6.3518,13.9,1006.35,20.83
8104050230,6.3523,13.9,1006.2,11.81
8104050240,6.3528,13.9,1006.05,2.67
8104050250,6.3531,13.9,1006.12,-6.52
8104050300,6.3538,13.9,1005.98,-15.69
8104050310,6.3526,13.9,1006.12,-24.78
8104050320,6.3528,13.9,1006.27,-33.72
8104050330,6.3529,13.9,1006.42,-42.44
8104050340,6.3536,13.9,1006.2,-50.88
8104050350,6.3548,13.9,1006.42,-58.97
8104050400,6.3536,13.9,1006.12,-66.66
8104050410,NA,NA,NA,-73.88
8104050420,6.3518,13.9,1006.42,-80.57
8104050430,6.3523,13.9,1006.5,-86.7
8104050440,6.3534,13.9,1006.42,-92.21
8104050450,6.3539,13.9,1006.58,-97.05
8104050500,6.3532,13.9,1006.5,-101.19
8104050510,6.3538,13.9,1006.27,-104.6
8104050520,6.3538,13.9,1006.73,-107.25
8104050530,6.3528,13.9,1006.73,-109.12
8104050540,6.3521,13.9,1007.25,-110.18
8104050550,6.3509,13.9,1007.62,-110.44
8104050600,6.3509,13.9,1007.48,-109.87
8104050610,6.3503,13.9,1007.48,-108.49
8104050620,6.3493,13.9,1008.08,-106.3
8104050630,6.3486,13.9,1008.15,-103.31
8104050640,6.3476,13.9,1008.15,-99.54
8104050650,6.3503,13.9,1008,-95.02
8104050700,6.3502,13.9,1007.85,-89.76
8104050710,NA,NA,NA,-83.82
8104050720,6.3499,13.9,1008.23,-77.21
8104050730,6.3499,13.9,1008.08,-70
8104050740,6.3498,13.9,1008,-62.23
8104050750,6.3495,13.9,1008,-53.95
8104050800,6.3487,13.9,1007.85,-45.21
8104050810,6.3456,13.9,1007.77,-36.08
8104050820,6.3458,13.9,1007.85,-26.62
8104050830,6.3458,13.9,1007.92,-16.89
8104050840,6.3491,13.9,1008.23,-6.96
8104050850,6.3456,13.9,1008.3,3.09
8104050900,6.3443,13.9,1008.98,13.21
8104050910,6.3435,13.9,1008.67,23.33
8104050920,6.3427,13.9,1008.98,33.36
8104050930,6.3416,13.9,1009.12,43.25
8104050940,6.3404,13.9,1009.2,52.92
8104050950,6.3405,13.9,1008.9,62.31
8104051000,6.3401,13.9,1008.98,71.36
8104051010,6.3376,13.9,1009.2,79.99
8104051020,NA,NA,NA,88.15
8104051030,6.3403,13.9,1009.05,95.78
8104051040,6.3364,13.9,1008.75,102.84
8104051050,6.3369,13.9,1008.6,109.27
8104051100,6.3378,13.9,1008.52,115.02
8104051110,6.3374,13.9,1008.52,120.06
8104051120,6.3375,13.9,1008,124.36
8104051130,6.3377,13.9,1007.77,127.87
8104051140,6.339,13.9,1007.25,130.59
8104051150,6.3404,13.9,1007.1,132.48
8104051200,6.3414,13.9,1006.73,133.54
8104051210,6.3412,13.9,1007.02,133.77
8104051220,6.3414,13.9,1006.95,133.15
8104051230,6.3426,13.9,1006.8,131.69
8104051240,6.3434,13.9,1007.1,129.41
8104051250,NA,NA,NA,126.32
8104051300,6.3458,14.9,1006.5,122.44
8104051310,6.3467,14.9,1006.58,117.81
8104051320,NA,NA,NA,112.44
8104051330,6.3484,14.9,1006.42,106.39
8104051340,6.3476,14.9,1005.98,99.69
8104051350,6.3492,14.9,1006.05,92.38
8104051400,NA,NA,NA,84.53
8104051410,6.3518,14.9,1005.52,76.18
8104051420,6.3529,14.9,1005.3,67.4
8104051430,6.3536,14.9,1005.15,58.24
8104051440,6.3549,14.9,1005.23,48.77
8104051450,6.3565,14.9,1005.45,39.05
8104051500,6.3578,14.9,1005.23,29.15
8104051510,6.3585,15.9,1005.3,19.14
8104051520,6.3599,15.9,1005.23,9.08
8104051530,6.3611,15.9,1004.85,-0.94
8104051540,6.3656,15.9,1004.77,-10.88
8104051550,6.3634,15.9,1004.77,-20.65
8104051600,6.3641,15.9,1004.7,-30.2
8104051610,6.3653,15.9,1004.55,-39.46
8104051620,6.3653,15.9,1003.88,-48.36
8104051630,NA,NA,NA,-56.85
8104051640,NA,NA,NA,-64.87
8104051650,6.3665,18.2,1004.25,-72.36
8104051700,6.3677,18.2,1004.55,-79.29
8104051710,6.3688,18.2,1004.48,-85.61
8104051720,6.3691,19.2,1004.48,-91.27
8104051730,6.3678,19.2,1004.25,-96.24
8104051740,6.3682,20,1004.25,-100.5
8104051750,6.37,20,1004.02,-104.01
8104051800,6.3717,20,1004.25,-106.76
8104051810,6.3719,20,1004.02,-108.73
8104051820,6.3709,20,1003.8,-109.92
8104051830,6.371,20,1003.42,-110.33
8104051840,6.3693,21,1003.5,-109.95
8104051850,6.3699,21,1003.12,-108.8
8104051900,6.3709,21,1003.5,-106.9
8104051910,6.3733,21,1003.2,-104.25
8104051920,6.3746,21,1003.58,-100.9
8104051930,6.3748,22,1003.5,-96.86
8104051940,6.3758,22,1003.2,-92.18
8104051950,6.3763,22,1003.5,-86.89
8104052000,NA,NA,NA,-81.05
8104052010,6.377,22,1003.88,-74.69
8104052020,6.3772,22,1003.73,-67.87
8104052030,NA,NA,NA,-60.65
